# print values over probCutOff 0.05
G/L	POS	branch	branchLength	distance2root	distance2NearestOTU	numOfNodes2NearestOTU	probability
gain	164	N2	0.1686	0.1686	0.07016	2	0.05225
gain	164	S6	0.1959	0.1959	0	0	0.0612
gain	165	N2	0.1686	0.1686	0.07016	2	0.1154
loss	165	N2	0.1686	0.1686	0.07016	2	0.5746
loss	165	N3	0.06772	0.2364	0.002442	1	0.1842
gain	165	N5	0.08146	0.2501	0.003067	1	0.1142
loss	165	N5	0.08146	0.2501	0.003067	1	0.09309
loss	165	S1	0.003067	0.2532	0	0	0.1839
gain	165	S2	0.004728	0.2548	0	0	0.8162
gain	165	S6	0.1959	0.1959	0	0	0.4489
loss	165	S6	0.1959	0.1959	0	0	0.116
gain	166	N2	0.1686	0.1686	0.07016	2	0.1559
loss	166	N2	0.1686	0.1686	0.07016	2	0.2837
loss	166	N3	0.06772	0.2364	0.002442	1	0.5123
gain	166	N5	0.08146	0.2501	0.003067	1	0.4958
gain	166	S6	0.1959	0.1959	0	0	0.2499
loss	166	S6	0.1959	0.1959	0	0	0.205
gain	167	N2	0.1686	0.1686	0.07016	2	0.09212
gain	167	S6	0.1959	0.1959	0	0	0.07469
loss	167	S6	0.1959	0.1959	0	0	0.09883
gain	168	N2	0.1686	0.1686	0.07016	2	0.08657
gain	168	S6	0.1959	0.1959	0	0	0.06342
loss	168	S6	0.1959	0.1959	0	0	0.091
gain	169	N2	0.1686	0.1686	0.07016	2	0.4094
loss	169	N2	0.1686	0.1686	0.07016	2	0.07512
gain	169	N3	0.06772	0.2364	0.002442	1	0.0523
gain	169	N5	0.08146	0.2501	0.003067	1	0.05815
gain	169	S6	0.1959	0.1959	0	0	0.07835
loss	169	S6	0.1959	0.1959	0	0	0.6676
gain	170	N2	0.1686	0.1686	0.07016	2	0.05225
gain	170	S6	0.1959	0.1959	0	0	0.0612
gain	171	N2	0.1686	0.1686	0.07016	2	0.05225
gain	171	S6	0.1959	0.1959	0	0	0.0612
gain	172	N2	0.1686	0.1686	0.07016	2	0.05225
gain	172	S6	0.1959	0.1959	0	0	0.0612
gain	173	N2	0.1686	0.1686	0.07016	2	0.05225
gain	173	S6	0.1959	0.1959	0	0	0.0612
gain	174	N2	0.1686	0.1686	0.07016	2	0.2088
loss	174	N2	0.1686	0.1686	0.07016	2	0.1797
gain	174	N3	0.06772	0.2364	0.002442	1	0.5976
loss	174	N5	0.08146	0.2501	0.003067	1	0.4239
gain	174	S6	0.1959	0.1959	0	0	0.09881
loss	174	S6	0.1959	0.1959	0	0	0.4541
gain	175	N2	0.1686	0.1686	0.07016	2	0.3676
loss	175	N2	0.1686	0.1686	0.07016	2	0.09778
loss	175	N3	0.06772	0.2364	0.002442	1	0.0752
gain	175	N5	0.08146	0.2501	0.003067	1	0.1723
gain	175	S6	0.1959	0.1959	0	0	0.08254
loss	175	S6	0.1959	0.1959	0	0	0.6231
gain	176	N2	0.1686	0.1686	0.07016	2	0.05225
gain	176	S6	0.1959	0.1959	0	0	0.0612
gain	177	N2	0.1686	0.1686	0.07016	2	0.05225
gain	177	S6	0.1959	0.1959	0	0	0.0612
gain	178	N2	0.1686	0.1686	0.07016	2	0.4094
loss	178	N2	0.1686	0.1686	0.07016	2	0.07512
gain	178	N3	0.06772	0.2364	0.002442	1	0.0523
gain	178	N5	0.08146	0.2501	0.003067	1	0.05815
gain	178	S6	0.1959	0.1959	0	0	0.07835
loss	178	S6	0.1959	0.1959	0	0	0.6676
gain	179	N2	0.1686	0.1686	0.07016	2	0.05225
gain	179	S6	0.1959	0.1959	0	0	0.0612
gain	180	N2	0.1686	0.1686	0.07016	2	0.05225
gain	180	S6	0.1959	0.1959	0	0	0.0612
gain	181	N2	0.1686	0.1686	0.07016	2	0.05225
gain	181	S6	0.1959	0.1959	0	0	0.0612
gain	182	N2	0.1686	0.1686	0.07016	2	0.05225
gain	182	S6	0.1959	0.1959	0	0	0.0612
gain	183	N2	0.1686	0.1686	0.07016	2	0.4094
loss	183	N2	0.1686	0.1686	0.07016	2	0.07512
gain	183	N3	0.06772	0.2364	0.002442	1	0.0523
gain	183	N5	0.08146	0.2501	0.003067	1	0.05815
gain	183	S6	0.1959	0.1959	0	0	0.07835
loss	183	S6	0.1959	0.1959	0	0	0.6676
gain	184	N2	0.1686	0.1686	0.07016	2	0.1459
loss	184	N2	0.1686	0.1686	0.07016	2	0.3207
loss	184	N3	0.06772	0.2364	0.002442	1	0.6027
gain	184	N5	0.08146	0.2501	0.003067	1	0.4227
gain	184	S6	0.1959	0.1959	0	0	0.3182
loss	184	S6	0.1959	0.1959	0	0	0.1084
gain	185	N2	0.1686	0.1686	0.07016	2	0.05225
gain	185	S6	0.1959	0.1959	0	0	0.0612
gain	186	N2	0.1686	0.1686	0.07016	2	0.05225
gain	186	S6	0.1959	0.1959	0	0	0.0612
gain	187	N2	0.1686	0.1686	0.07016	2	0.05225
gain	187	S6	0.1959	0.1959	0	0	0.0612
gain	188	N2	0.1686	0.1686	0.07016	2	0.05225
gain	188	S6	0.1959	0.1959	0	0	0.0612
gain	189	N2	0.1686	0.1686	0.07016	2	0.07352
loss	189	N2	0.1686	0.1686	0.07016	2	0.2225
gain	189	S4	0.001831	0.2423	0	0	0.9962
loss	189	N5	0.08146	0.2501	0.003067	1	0.05074
gain	189	S6	0.1959	0.1959	0	0	0.08426
loss	189	S6	0.1959	0.1959	0	0	0.2593
gain	190	N2	0.1686	0.1686	0.07016	2	0.05238
gain	190	S6	0.1959	0.1959	0	0	0.06136
gain	191	N2	0.1686	0.1686	0.07016	2	0.05238
gain	191	S6	0.1959	0.1959	0	0	0.06136
gain	192	N2	0.1686	0.1686	0.07016	2	0.05238
gain	192	S6	0.1959	0.1959	0	0	0.06136
gain	193	N2	0.1686	0.1686	0.07016	2	0.3602
loss	193	N2	0.1686	0.1686	0.07016	2	0.1572
gain	193	N3	0.06772	0.2364	0.002442	1	0.1959
gain	193	N5	0.08146	0.2501	0.003067	1	0.06601
loss	193	N5	0.08146	0.2501	0.003067	1	0.1862
gain	193	S1	0.003067	0.2532	0	0	0.2986
loss	193	S2	0.004728	0.2548	0	0	0.7015
gain	193	S6	0.1959	0.1959	0	0	0.1266
loss	193	S6	0.1959	0.1959	0	0	0.6935
gain	194	N2	0.1686	0.1686	0.07016	2	0.3653
loss	194	N2	0.1686	0.1686	0.07016	2	0.09937
loss	194	N3	0.06772	0.2364	0.002442	1	0.07494
gain	194	N5	0.08146	0.2501	0.003067	1	0.1708
gain	194	S6	0.1959	0.1959	0	0	0.08293
loss	194	S6	0.1959	0.1959	0	0	0.621
gain	195	N2	0.1686	0.1686	0.07016	2	0.06261
loss	195	N2	0.1686	0.1686	0.07016	2	0.08783
gain	195	S6	0.1959	0.1959	0	0	0.112
gain	196	N2	0.1686	0.1686	0.07016	2	0.06261
loss	196	N2	0.1686	0.1686	0.07016	2	0.08783
gain	196	S6	0.1959	0.1959	0	0	0.112
