# print values over probCutOff 0.05
G/L	POS	branch	branchLength	distance2root	distance2NearestOTU	numOfNodes2NearestOTU	probability	expectation
gain	143	N2	0.1686	0.1686	0.07016	2	0.1785	0.1857
loss	143	N2	0.1686	0.1686	0.07016	2	0.1938	0.2027
loss	143	N3	0.06772	0.2364	0.002442	1	0.3329	0.3356
gain	143	N5	0.08146	0.2501	0.003067	1	0.665	0.6694
gain	143	S6	0.1959	0.1959	0	0	0.09696	0.1005
loss	143	S6	0.1959	0.1959	0	0	0.4132	0.4405
gain	144	N2	0.1686	0.1686	0.07016	2	0.3746	0.3859
loss	144	N2	0.1686	0.1686	0.07016	2	0.09412	0.09754
gain	144	N3	0.06772	0.2364	0.002442	1	0.147	0.1478
gain	144	N5	0.08146	0.2501	0.003067	1	0.05132	0.05183
loss	144	N5	0.08146	0.2501	0.003067	1	0.09177	0.09278
gain	144	S6	0.1959	0.1959	0	0	0.08251	0.08541
loss	144	S6	0.1959	0.1959	0	0	0.6317	0.6634
gain	145	N2	0.1686	0.1686	0.07016	2	0.06261	0.0651
loss	145	N2	0.1686	0.1686	0.07016	2	0.08783	0.09092
gain	145	S6	0.1959	0.1959	0	0	0.112	0.1174
gain	146	N2	0.1686	0.1686	0.07016	2	0.06261	0.0651
loss	146	N2	0.1686	0.1686	0.07016	2	0.08783	0.09092
gain	146	S6	0.1959	0.1959	0	0	0.112	0.1174
gain	147	N2	0.1686	0.1686	0.07016	2	0.05269	0.05481
gain	147	S6	0.1959	0.1959	0	0	0.06181	0.06509
gain	148	N2	0.1686	0.1686	0.07016	2	0.05225	0.05435
gain	148	S6	0.1959	0.1959	0	0	0.0612	0.06445
gain	149	N2	0.1686	0.1686	0.07016	2	0.05225	0.05435
gain	149	S6	0.1959	0.1959	0	0	0.0612	0.06445
gain	150	N2	0.1686	0.1686	0.07016	2	0.05225	0.05435
gain	150	S6	0.1959	0.1959	0	0	0.0612	0.06445
gain	151	N2	0.1686	0.1686	0.07016	2	0.05225	0.05435
gain	151	S6	0.1959	0.1959	0	0	0.0612	0.06445
gain	152	N2	0.1686	0.1686	0.07016	2	0.05225	0.05435
gain	152	S6	0.1959	0.1959	0	0	0.0612	0.06445
gain	153	N2	0.1686	0.1686	0.07016	2	0.4094	0.4211
loss	153	N2	0.1686	0.1686	0.07016	2	0.07512	0.07752
gain	153	N3	0.06772	0.2364	0.002442	1	0.0523	0.05269
gain	153	N5	0.08146	0.2501	0.003067	1	0.05815	0.05874
gain	153	S6	0.1959	0.1959	0	0	0.07835	0.08108
loss	153	S6	0.1959	0.1959	0	0	0.6676	0.6994
gain	154	N2	0.1686	0.1686	0.07016	2	0.06261	0.0651
loss	154	N2	0.1686	0.1686	0.07016	2	0.08783	0.09092
gain	154	S6	0.1959	0.1959	0	0	0.112	0.1174
gain	155	N2	0.1686	0.1686	0.07016	2	0.4094	0.4211
loss	155	N2	0.1686	0.1686	0.07016	2	0.07512	0.07752
gain	155	N3	0.06772	0.2364	0.002442	1	0.0523	0.05269
gain	155	N5	0.08146	0.2501	0.003067	1	0.05815	0.05874
gain	155	S6	0.1959	0.1959	0	0	0.07835	0.08108
loss	155	S6	0.1959	0.1959	0	0	0.6676	0.6994
gain	156	N2	0.1686	0.1686	0.07016	2	0.05225	0.05435
gain	156	S6	0.1959	0.1959	0	0	0.0612	0.06445
gain	157	N2	0.1686	0.1686	0.07016	2	0.05528	0.05691
loss	157	N2	0.1686	0.1686	0.07016	2	0.5607	0.5769
loss	157	N3	0.06772	0.2364	0.002442	1	0.05529	0.05573
loss	157	N5	0.08146	0.2501	0.003067	1	0.06121	0.06188
gain	157	S6	0.1959	0.1959	0	0	0.4867	0.5013
loss	157	S6	0.1959	0.1959	0	0	0.06158	0.06368
gain	158	N2	0.1686	0.1686	0.07016	2	0.08604	0.08906
gain	158	S6	0.1959	0.1959	0	0	0.06282	0.06602
loss	158	S6	0.1959	0.1959	0	0	0.09042	0.09436
gain	159	N2	0.1686	0.1686	0.07016	2	0.08604	0.08906
gain	159	S6	0.1959	0.1959	0	0	0.06282	0.06602
loss	159	S6	0.1959	0.1959	0	0	0.09042	0.09436
gain	160	N2	0.1686	0.1686	0.07016	2	0.1694	0.1764
loss	160	N2	0.1686	0.1686	0.07016	2	0.2446	0.2555
gain	160	N3	0.06772	0.2364	0.002442	1	0.4133	0.416
loss	160	N5	0.08146	0.2501	0.003067	1	0.61	0.6162
gain	160	S6	0.1959	0.1959	0	0	0.2367	0.2497
loss	160	S6	0.1959	0.1959	0	0	0.2096	0.2212
gain	161	N2	0.1686	0.1686	0.07016	2	0.05225	0.05435
gain	161	S6	0.1959	0.1959	0	0	0.0612	0.06445
gain	162	N2	0.1686	0.1686	0.07016	2	0.05225	0.05435
gain	162	S6	0.1959	0.1959	0	0	0.0612	0.06445
gain	163	N2	0.1686	0.1686	0.07016	2	0.05225	0.05435
gain	163	S6	0.1959	0.1959	0	0	0.0612	0.06445
gain	164	N2	0.1686	0.1686	0.07016	2	0.05225	0.05435
gain	164	S6	0.1959	0.1959	0	0	0.0612	0.06445
gain	165	N2	0.1686	0.1686	0.07016	2	0.1154	0.1193
loss	165	N2	0.1686	0.1686	0.07016	2	0.5746	0.6022
loss	165	N3	0.06772	0.2364	0.002442	1	0.1842	0.1858
gain	165	N5	0.08146	0.2501	0.003067	1	0.1142	0.1155
loss	165	N5	0.08146	0.2501	0.003067	1	0.09309	0.09416
loss	165	S1	0.003067	0.2532	0	0	0.1839	0.1839
gain	165	S2	0.004728	0.2548	0	0	0.8162	0.8162
gain	165	S6	0.1959	0.1959	0	0	0.4489	0.4747
loss	165	S6	0.1959	0.1959	0	0	0.116	0.1201
gain	166	N2	0.1686	0.1686	0.07016	2	0.1559	0.1622
loss	166	N2	0.1686	0.1686	0.07016	2	0.2837	0.2967
loss	166	N3	0.06772	0.2364	0.002442	1	0.5123	0.5159
gain	166	N5	0.08146	0.2501	0.003067	1	0.4958	0.5005
gain	166	S6	0.1959	0.1959	0	0	0.2499	0.2636
loss	166	S6	0.1959	0.1959	0	0	0.205	0.2163
gain	167	N2	0.1686	0.1686	0.07016	2	0.09212	0.09543
gain	167	S6	0.1959	0.1959	0	0	0.07469	0.07856
loss	167	S6	0.1959	0.1959	0	0	0.09883	0.1033
gain	168	N2	0.1686	0.1686	0.07016	2	0.08657	0.08962
gain	168	S6	0.1959	0.1959	0	0	0.06342	0.06666
loss	168	S6	0.1959	0.1959	0	0	0.091	0.09498
gain	169	N2	0.1686	0.1686	0.07016	2	0.4094	0.4211
loss	169	N2	0.1686	0.1686	0.07016	2	0.07512	0.07752
gain	169	N3	0.06772	0.2364	0.002442	1	0.0523	0.05269
gain	169	N5	0.08146	0.2501	0.003067	1	0.05815	0.05874
gain	169	S6	0.1959	0.1959	0	0	0.07835	0.08108
loss	169	S6	0.1959	0.1959	0	0	0.6676	0.6994
gain	170	N2	0.1686	0.1686	0.07016	2	0.05225	0.05435
gain	170	S6	0.1959	0.1959	0	0	0.0612	0.06445
gain	171	N2	0.1686	0.1686	0.07016	2	0.05225	0.05435
gain	171	S6	0.1959	0.1959	0	0	0.0612	0.06445
gain	172	N2	0.1686	0.1686	0.07016	2	0.05225	0.05435
gain	172	S6	0.1959	0.1959	0	0	0.0612	0.06445
gain	173	N2	0.1686	0.1686	0.07016	2	0.05225	0.05435
gain	173	S6	0.1959	0.1959	0	0	0.0612	0.06445
gain	174	N2	0.1686	0.1686	0.07016	2	0.2088	0.2175
loss	174	N2	0.1686	0.1686	0.07016	2	0.1797	0.1877
gain	174	N3	0.06772	0.2364	0.002442	1	0.5976	0.6004
loss	174	N5	0.08146	0.2501	0.003067	1	0.4239	0.4289
gain	174	S6	0.1959	0.1959	0	0	0.09881	0.1024
loss	174	S6	0.1959	0.1959	0	0	0.4541	0.4841
gain	175	N2	0.1686	0.1686	0.07016	2	0.3676	0.3786
loss	175	N2	0.1686	0.1686	0.07016	2	0.09778	0.1014
loss	175	N3	0.06772	0.2364	0.002442	1	0.0752	0.07578
gain	175	N5	0.08146	0.2501	0.003067	1	0.1723	0.1736
gain	175	S6	0.1959	0.1959	0	0	0.08254	0.08545
loss	175	S6	0.1959	0.1959	0	0	0.6231	0.6544
gain	176	N2	0.1686	0.1686	0.07016	2	0.05225	0.05435
gain	176	S6	0.1959	0.1959	0	0	0.0612	0.06445
gain	177	N2	0.1686	0.1686	0.07016	2	0.05225	0.05435
gain	177	S6	0.1959	0.1959	0	0	0.0612	0.06445
gain	178	N2	0.1686	0.1686	0.07016	2	0.4094	0.4211
loss	178	N2	0.1686	0.1686	0.07016	2	0.07512	0.07752
gain	178	N3	0.06772	0.2364	0.002442	1	0.0523	0.05269
gain	178	N5	0.08146	0.2501	0.003067	1	0.05815	0.05874
gain	178	S6	0.1959	0.1959	0	0	0.07835	0.08108
loss	178	S6	0.1959	0.1959	0	0	0.6676	0.6994
gain	179	N2	0.1686	0.1686	0.07016	2	0.05225	0.05435
gain	179	S6	0.1959	0.1959	0	0	0.0612	0.06445
gain	180	N2	0.1686	0.1686	0.07016	2	0.05225	0.05435
gain	180	S6	0.1959	0.1959	0	0	0.0612	0.06445
gain	181	N2	0.1686	0.1686	0.07016	2	0.05225	0.05435
gain	181	S6	0.1959	0.1959	0	0	0.0612	0.06445
gain	182	N2	0.1686	0.1686	0.07016	2	0.05225	0.05435
gain	182	S6	0.1959	0.1959	0	0	0.0612	0.06445
gain	183	N2	0.1686	0.1686	0.07016	2	0.4094	0.4211
loss	183	N2	0.1686	0.1686	0.07016	2	0.07512	0.07752
gain	183	N3	0.06772	0.2364	0.002442	1	0.0523	0.05269
gain	183	N5	0.08146	0.2501	0.003067	1	0.05815	0.05874
gain	183	S6	0.1959	0.1959	0	0	0.07835	0.08108
loss	183	S6	0.1959	0.1959	0	0	0.6676	0.6994
gain	184	N2	0.1686	0.1686	0.07016	2	0.1459	0.1517
loss	184	N2	0.1686	0.1686	0.07016	2	0.3207	0.3353
loss	184	N3	0.06772	0.2364	0.002442	1	0.6027	0.6068
gain	184	N5	0.08146	0.2501	0.003067	1	0.4227	0.4275
gain	184	S6	0.1959	0.1959	0	0	0.3182	0.3365
loss	184	S6	0.1959	0.1959	0	0	0.1084	0.1123
gain	185	N2	0.1686	0.1686	0.07016	2	0.05225	0.05435
gain	185	S6	0.1959	0.1959	0	0	0.0612	0.06445
gain	186	N2	0.1686	0.1686	0.07016	2	0.05225	0.05435
gain	186	S6	0.1959	0.1959	0	0	0.0612	0.06445
gain	187	N2	0.1686	0.1686	0.07016	2	0.05225	0.05435
gain	187	S6	0.1959	0.1959	0	0	0.0612	0.06445
gain	188	N2	0.1686	0.1686	0.07016	2	0.05225	0.05435
gain	188	S6	0.1959	0.1959	0	0	0.0612	0.06445
gain	189	N2	0.1686	0.1686	0.07016	2	0.07352	0.07586
loss	189	N2	0.1686	0.1686	0.07016	2	0.2225	0.2334
gain	189	S4	0.001831	0.2423	0	0	0.9962	0.9962
loss	189	N5	0.08146	0.2501	0.003067	1	0.05074	0.05132
gain	189	S6	0.1959	0.1959	0	0	0.08426	0.0874
loss	189	S6	0.1959	0.1959	0	0	0.2593	0.2763
gain	190	N2	0.1686	0.1686	0.07016	2	0.05238	0.05449
gain	190	S6	0.1959	0.1959	0	0	0.06136	0.06462
gain	191	N2	0.1686	0.1686	0.07016	2	0.05238	0.05449
gain	191	S6	0.1959	0.1959	0	0	0.06136	0.06462
gain	192	N2	0.1686	0.1686	0.07016	2	0.05238	0.05449
gain	192	S6	0.1959	0.1959	0	0	0.06136	0.06462
gain	193	N2	0.1686	0.1686	0.07016	2	0.3602	0.3767
loss	193	N2	0.1686	0.1686	0.07016	2	0.1572	0.1634
gain	193	N3	0.06772	0.2364	0.002442	1	0.1959	0.1975
gain	193	N5	0.08146	0.2501	0.003067	1	0.06601	0.06671
loss	193	N5	0.08146	0.2501	0.003067	1	0.1862	0.1886
gain	193	S1	0.003067	0.2532	0	0	0.2986	0.2986
loss	193	S2	0.004728	0.2548	0	0	0.7015	0.7015
gain	193	S6	0.1959	0.1959	0	0	0.1266	0.1311
loss	193	S6	0.1959	0.1959	0	0	0.6935	0.7412
gain	194	N2	0.1686	0.1686	0.07016	2	0.3653	0.3764
loss	194	N2	0.1686	0.1686	0.07016	2	0.09937	0.1031
loss	194	N3	0.06772	0.2364	0.002442	1	0.07494	0.07552
gain	194	N5	0.08146	0.2501	0.003067	1	0.1708	0.1721
gain	194	S6	0.1959	0.1959	0	0	0.08293	0.08586
loss	194	S6	0.1959	0.1959	0	0	0.621	0.6523
gain	195	N2	0.1686	0.1686	0.07016	2	0.06261	0.0651
loss	195	N2	0.1686	0.1686	0.07016	2	0.08783	0.09092
gain	195	S6	0.1959	0.1959	0	0	0.112	0.1174
gain	196	N2	0.1686	0.1686	0.07016	2	0.06261	0.0651
loss	196	N2	0.1686	0.1686	0.07016	2	0.08783	0.09092
gain	196	S6	0.1959	0.1959	0	0	0.112	0.1174
